Date,AR
2013-04-02,0.9537125019177519
2013-04-03,0.9537996205027773
2013-04-04,0.9537849279736144
2013-04-05,0.9533462638266209
2013-04-08,0.9537892849093013
2013-04-09,0.9531690495252135
2013-04-10,0.952812374006981
2013-04-11,0.9528836558592544
2013-04-12,0.9524977143062887
2013-04-15,0.9528062598276243
2013-04-16,0.9540125211548295
2013-04-17,0.954242263098223
2013-04-18,0.9541825141564149
2013-04-19,0.9543482479126105
2013-04-22,0.9545806015851366
2013-04-23,0.9546614314873423
2013-04-24,0.9552456964807051
2013-04-25,0.955121797563943
2013-04-26,0.9550163448672706
2013-04-29,0.9552250376868502
2013-04-30,0.9551980154056889
2013-05-01,0.9543599211359134
2013-05-02,0.9548522364782024
2013-05-03,0.954916293248554
2013-05-06,0.9543494539036782
2013-05-07,0.9540852640835155
2013-05-08,0.9541474909196366
2013-05-09,0.9541273401503344
2013-05-10,0.9542348264078129
2013-05-13,0.9543023133422135
2013-05-14,0.9539937783455439
2013-05-15,0.9540527086807714
2013-05-16,0.9538803983796428
2013-05-17,0.9531758416063627
2013-05-20,0.9529994545439016
2013-05-21,0.9523166325928529
2013-05-22,0.9527416894724662
2013-05-23,0.9526700048327037
2013-05-24,0.9529436505559515
2013-05-28,0.9529752766816135
2013-05-29,0.9527724774005556
2013-05-30,0.9524764145171223
2013-05-31,0.9524774967165415
2013-06-03,0.9503168493348362
2013-06-04,0.950677228733377
2013-06-05,0.9511594709316341
2013-06-06,0.9499412408115654
2013-06-07,0.9498862809131994
2013-06-10,0.9494860630900488
2013-06-11,0.9492592256328068
2013-06-12,0.9491561050314943
2013-06-13,0.949402048059567
2013-06-14,0.9496667007993141
2013-06-17,0.9494462922837786
2013-06-18,0.9500367296877359
2013-06-19,0.9501835896266587
2013-06-20,0.9516251187780881
2013-06-21,0.9499500552367903
2013-06-24,0.9501857880646709
2013-06-25,0.9496331115192617
2013-06-26,0.9490961575166069
2013-06-27,0.9486816477772976
2013-06-28,0.9491175249496208
2013-07-01,0.9472377967815144
2013-07-02,0.9476726788530482
2013-07-03,0.9476186072961092
2013-07-05,0.948126954365881
2013-07-08,0.9476265767588392
2013-07-09,0.9476704596903595
2013-07-10,0.9471769277416185
2013-07-11,0.9474997629454601
2013-07-12,0.9475049187223218
2013-07-15,0.9470123565871261
2013-07-16,0.9470125569842097
2013-07-17,0.947209882561862
2013-07-18,0.9469602053571059
2013-07-19,0.947591233838184
2013-07-22,0.9471140081763177
2013-07-23,0.9465555100787224
2013-07-24,0.945790149841451
2013-07-25,0.9457891979253384
2013-07-26,0.9455961485616255
2013-07-29,0.9442376437438006
2013-07-30,0.9442012468299056
2013-07-31,0.944157789956655
2013-08-01,0.9465385184223224
2013-08-02,0.9465567839421641
2013-08-05,0.9451061902312443
2013-08-06,0.9454205521846338
2013-08-07,0.9453257600980618
2013-08-08,0.9454046731293461
2013-08-09,0.9454112145558355
2013-08-12,0.9452835731955255
2013-08-13,0.9449891851320039
2013-08-14,0.945093840100967
2013-08-15,0.9464674726873321
2013-08-16,0.9462415029823843
2013-08-19,0.946260641786503
2013-08-20,0.9457961392218368
2013-08-21,0.9458711790677738
2013-08-22,0.9464380952706636
2013-08-23,0.9461360559977692
2013-08-26,0.9460071812946336
2013-08-27,0.9472895119028808
2013-08-28,0.9475029624643514
2013-08-29,0.9472769061709775
2013-08-30,0.946308789446334
2013-09-03,0.9463439425840584
2013-09-04,0.9478836027655757
2013-09-05,0.9478665650035252
2013-09-06,0.9469415522547592
2013-09-09,0.9475349316798448
2013-09-10,0.9480128333891178
2013-09-11,0.9479247484800405
2013-09-12,0.9478777946969684
2013-09-13,0.9477304631708336
2013-09-16,0.9473268120823998
2013-09-17,0.9474624606503683
2013-09-18,0.9475436044925778
2013-09-19,0.9474960432671369
2013-09-20,0.947374944668414
2013-09-23,0.9473778263909406
2013-09-24,0.9471891626644657
2013-09-25,0.9466159181471925
2013-09-26,0.9464311469583537
2013-09-27,0.9462088816245482
2013-09-30,0.9457669843815144
2013-10-01,0.9461847597224428
2013-10-02,0.9461025912190848
2013-10-03,0.947040326863624
2013-10-04,0.9470927390481925
2013-10-07,0.9475467908028208
2013-10-08,0.9480945805414843
2013-10-09,0.9475764476806516
2013-10-10,0.9491721509908028
2013-10-11,0.9493042341048048
2013-10-14,0.9495620136291857
2013-10-15,0.94969097004328
2013-10-16,0.9498351610627095
2013-10-17,0.9502829802981255
2013-10-18,0.9505647206195922
2013-10-21,0.9495926629091903
2013-10-22,0.9496210293381809
2013-10-23,0.9505373607847452
2013-10-24,0.9504918677096795
2013-10-25,0.9502190802034083
2013-10-28,0.9503615819541539
2013-10-29,0.9511707077242507
2013-10-30,0.950740128593305
2013-10-31,0.9503533825206859
2013-11-01,0.9499777942831409
2013-11-04,0.949647267831833
2013-11-05,0.9476777108880626
2013-11-06,0.9463898418284684
2013-11-07,0.9472110668612261
2013-11-08,0.9479198658787371
2013-11-11,0.9478287057403992
2013-11-12,0.9470528151541635
2013-11-13,0.9471446332608047
2013-11-14,0.946778785340978
2013-11-15,0.9457045517304767
2013-11-18,0.9457090161572748
2013-11-19,0.9457778269388797
2013-11-20,0.9456585220663126
2013-11-21,0.9460296837517738
2013-11-22,0.9461782464731902
2013-11-25,0.9461002086490136
2013-11-26,0.9457901307873334
2013-11-27,0.9457286045896606
2013-11-29,0.9456670932203022
2013-12-02,0.945327289982164
2013-12-03,0.9461311773701292
2013-12-04,0.9462687230483428
2013-12-05,0.946427948843504
2013-12-06,0.9463536154582571
2013-12-09,0.946141222152665
