Date,MSI
2013-04-02,0.8404666739356141
2013-04-03,5.998510092262551
2013-04-04,0.7093406046291675
2013-04-05,0.9518437881332928
2013-04-08,1.5173127703306348
2013-04-09,0.45749952427438945
2013-04-10,8.595600476326982
2013-04-11,0.13502626596639655
2013-04-12,0.482575212754237
2013-04-15,28.955507976895262
2013-04-16,7.970011847069253
2013-04-17,10.338029413760083
2013-04-18,2.8001840687340267
2013-04-19,3.9574363158054373
2013-04-22,1.0410881801036416
2013-04-23,4.855254338124864
2013-04-24,0.18910542294800797
2013-04-25,0.9049766355814314
2013-04-26,0.5629828356312967
2013-04-29,1.8903810436037902
2013-04-30,0.6964046867038175
2013-05-01,8.237920933387866
2013-05-02,5.276582057976844
2013-05-03,4.803894900373905
2013-05-06,0.38975281247371035
2013-05-07,0.8352446116271832
2013-05-08,0.4149551424379547
2013-05-09,0.5877747566032296
2013-05-10,1.453382493901507
2013-05-13,0.05711550389911464
2013-05-14,2.9881375363873888
2013-05-15,0.3345644899240053
2013-05-16,0.7896457315955117
2013-05-17,3.1913751994215485
2013-05-20,0.08388918619751608
2013-05-21,0.01667158948632245
2013-05-22,6.034916957881316
2013-05-23,0.28925274191560574
2013-05-24,0.054932844141895046
2013-05-28,2.5916666942854016
2013-05-29,2.8209399892225324
2013-05-30,0.9585142303964922
2013-05-31,6.377401681543789
2013-06-03,0.7134242782960333
2013-06-04,2.2394787665296745
2013-06-05,8.102301827338083
2013-06-06,2.5597728710871848
2013-06-07,4.822794593628161
2013-06-10,0.19537119784908674
2013-06-11,5.336513526410712
2013-06-12,4.201214563018634
2013-06-13,8.067806624488302
2013-06-14,2.3344298272621233
2013-06-17,1.8200752273689038
2013-06-18,2.920326152629194
2013-06-19,7.510837015744471
2013-06-20,24.76617860696878
2013-06-21,0.22240941585679172
2013-06-24,6.391668669705814
2013-06-25,2.9765923602441684
2013-06-26,2.0819187890983333
2013-06-27,3.6822572525396393
2013-06-28,0.5481623406347809
2013-07-01,2.8568423677549633
2013-07-02,0.05533888424951214
2013-07-03,0.08667599073474316
2013-07-05,4.789023250948576
2013-07-08,0.43959639311825927
2013-07-09,1.6691190816617372
2013-07-10,0.23948699781425353
2013-07-11,7.422219645167496
2013-07-12,0.49246405859766634
2013-07-15,0.346659742584775
2013-07-16,0.8527521829960607
2013-07-17,0.20730343146178143
2013-07-18,0.7410239557854572
2013-07-19,0.7842883724588122
2013-07-22,0.15470444650335594
2013-07-23,0.8585613884670735
2013-07-24,1.3710214053961565
2013-07-25,1.4318916849122763
2013-07-26,0.5182118533529746
2013-07-29,1.561862911892583
2013-07-30,0.26844744851351804
2013-07-31,0.07225827847714195
2013-08-01,6.746197200524744
2013-08-02,0.14647448539864452
2013-08-05,0.13778854997373918
2013-08-06,3.385560309817307
2013-08-07,1.5088871840555358
2013-08-08,0.5185012586699338
2013-08-09,0.5690375658944963
2013-08-12,0.3037724151345846
2013-08-13,0.31317015545762267
2013-08-14,1.341007399485178
2013-08-15,13.781049982939454
2013-08-16,0.5339966393318442
2013-08-19,2.6843288389752615
2013-08-20,3.0959034702440036
2013-08-21,1.7511365279841478
2013-08-22,4.719097661610721
2013-08-23,0.5017279014787516
2013-08-26,0.4219729708365395
2013-08-27,19.12037635323003
2013-08-28,0.30466293472710115
2013-08-29,1.683497510466612
2013-08-30,4.5341545044997975
2013-09-03,0.8986432943016813
2013-09-04,3.02069706514192
2013-09-05,0.10770831234346333
2013-09-06,0.007102022998835552
2013-09-09,6.288570092766447
2013-09-10,2.0127327988727512
2013-09-11,0.17209901380012466
2013-09-12,1.0656387549337036
2013-09-13,0.3133992437945501
2013-09-16,0.5491374933332384
2013-09-17,1.7872902748249624
2013-09-18,4.653103256876806
2013-09-19,0.19978201815109894
2013-09-20,1.5700682870748204
2013-09-23,0.708058274668313
2013-09-24,0.21413517025210596
2013-09-25,0.3744206592646717
2013-09-26,0.8557758734723608
2013-09-27,0.7775811400759329
2013-09-30,1.0340773567189325
2013-10-01,4.551150823647422
2013-10-02,0.42574579034366533
2013-10-03,5.248797086065118
2013-10-04,2.1287211831670856
2013-10-07,4.9671620968677885
2013-10-08,13.056591291438046
2013-10-09,0.6672065325716345
2013-10-10,20.97017535136743
2013-10-11,3.1004700451309004
2013-10-14,0.7971328799508633
2013-10-15,2.9586418405753547
2013-10-16,6.0434093439320655
2013-10-17,1.7141264777106842
2013-10-18,3.849667807990925
2013-10-21,0.13307041240925305
2013-10-22,0.48171561638805194
2013-10-23,1.5922800592524986
2013-10-24,0.7692936568731241
2013-10-25,0.34848089282242956
2013-10-28,0.09013581712934271
2013-10-29,0.46985181163986
2013-10-30,3.7595856396743543
2013-10-31,1.0532172700295621
2013-11-01,0.38853889045285867
2013-11-04,1.4125826030796729
2013-11-05,0.627075722913494
2013-11-06,0.7683255129463975
2013-11-07,14.28583095194017
2013-11-08,9.91714407716017
2013-11-11,0.021217875744690338
2013-11-12,0.28106728306038575
2013-11-13,3.3451055039370643
2013-11-14,0.31994128798822336
2013-11-15,0.3600238071894012
2013-11-18,3.2157518965832543
2013-11-19,1.209676177486724
2013-11-20,0.7327886158788381
2013-11-21,6.1524433544115364
2013-11-22,0.7488495834621814
2013-11-25,0.13248524594565653
2013-11-26,0.9883712019463922
2013-11-27,0.7753310343644968
2013-11-29,0.16452962506289276
2013-12-02,2.702565391032908
2013-12-03,0.9349280393340613
2013-12-04,0.2550047073543576
2013-12-05,0.6512833196447432
2013-12-06,3.1508686528271075
2013-12-09,0.11579807441186882
2013-12-10,1.6322244832901978
