Date,^GSPC,^IXIC,^RUT
2013-04-02,0.004704517194847799,0.0045937227955231,-0.0053075205588103
2013-04-03,-0.0109416725201854,-0.011309478123091299,-0.0170945211787549
2013-04-04,0.0036207597729507,0.0017971920880699,0.0070986327483446
2013-04-05,-0.0047462182966698,-0.006766070963229,-0.0030961569763007
2013-04-08,0.005823688146893401,0.0055159046581633,0.008320793190113501
2013-04-09,0.003005671261732,0.0045576881807974,-0.0029421973936672
2013-04-10,0.0115333893696261,0.017908843320299198,0.0172212079935383
2013-04-11,0.0029120938655016002,0.00047926415653649993,0.00027172483725759994
2013-04-12,-0.0034104591040213,-0.0019238118608713,-0.0050997771470909
2013-04-15,-0.023498017461045698,-0.0241199375936253,-0.0384065464639839
2013-04-16,0.013716253119057,0.0145685152136362,0.017132801627533098
2013-04-17,-0.014799394144831099,-0.018618310216989002,-0.0183728421722611
2013-04-18,-0.0071621333317251,-0.0121732692258274,-0.006348573448917099
2013-04-19,0.0083276432842433,0.0122374677533948,0.011604979090111201
2013-04-22,0.0041274014166177,0.008230057484730501,0.0019505698587116002
2013-04-23,0.009809683048089601,0.010636665234199401,0.0152217230744013
2013-04-24,-0.0005885017787205392,-0.00034306443414246093,0.004427597495972799
2013-04-25,0.0034783297400458003,0.0058469853131564,0.0059659190807052
2013-04-26,-0.00236442643974,-0.0035945475838823,-0.0059368625036815
2013-04-29,0.0066446115552671,0.0081226959625999,0.007093914496133
2013-04-30,0.0019180259035060999,0.0061842419175747,0.0046911543995755995
2013-05-01,-0.009814892310793601,-0.0092679234835583,-0.0250921276120132
2013-05-02,0.0088533558918312,0.0121804170925312,0.016315272522411398
2013-05-03,0.0099072653727116,0.0108903745285681,0.0147745489803221
2013-05-06,0.0012081571540952,0.0036498051072592,0.0048133083409519
2013-05-07,0.0045111292863626,0.0004817366188194,0.0075088273755629
2013-05-08,0.0033862700542830002,0.0042669405385676,0.0018144979923283002
2013-05-09,-0.0044519758023659,-0.001844185651415,-0.005141864612988
2013-05-10,0.0035495664319629998,0.0073635442643213995,0.0083228799903387
2013-05-13,-0.0007429204281612973,-3.583867819209998e-05,-0.0022956646242403003
2013-05-14,0.0092713236136212,0.006177665967474,0.0115005953065498
2013-05-15,0.004199866508499899,0.0018303140785182002,0.0016010514544079
2013-05-16,-0.0059215872341631,-0.0026294747397849,-0.0042667570628001
2013-05-17,0.0092868445587154,0.0088191997996485,0.009936537341044301
