Date,,^GSPC,^IXIC,^RUT
2013-05-16,^RUT,7.701466299359352e-05,8.913297381333429e-05,0.00010781850840523661
2013-05-17,^GSPC,6.413089786294828e-05,7.026655639400062e-05,7.583824752114266e-05
2013-05-17,^IXIC,7.026655639400062e-05,8.50919151464313e-05,8.737259581861068e-05
2013-05-17,^RUT,7.583824752114266e-05,8.737259581861068e-05,0.0001058829454579519
2013-05-20,^GSPC,6.385863122314228e-05,6.98272970675993e-05,7.547551400887948e-05
2013-05-20,^IXIC,6.98272970675993e-05,8.438818457423481e-05,8.67997157984139e-05
2013-05-20,^RUT,7.547551400887948e-05,8.67997157984139e-05,0.00010543044515388997
2013-05-21,^GSPC,6.295408626653537e-05,6.839886792441817e-05,7.413728864941616e-05
2013-05-21,^IXIC,6.839886792441817e-05,8.213312995870938e-05,8.468876280357768e-05
2013-05-21,^RUT,7.413728864941616e-05,8.468876280357768e-05,0.00010345864793587558
2013-05-22,^GSPC,6.329596238886239e-05,6.883466775288794e-05,7.477711752688378e-05
2013-05-22,^IXIC,6.883466775288794e-05,8.265021991384464e-05,8.542053730568998e-05
2013-05-22,^RUT,7.477711752688378e-05,8.542053730568998e-05,0.00010447325197315388
2013-05-23,^GSPC,6.335357988863768e-05,6.885557607609872e-05,7.474294564588451e-05
2013-05-23,^IXIC,6.885557607609872e-05,8.262778155488638e-05,8.533630011586894e-05
2013-05-23,^RUT,7.474294564588451e-05,8.533630011586894e-05,0.00010432164760920967
2013-05-24,^GSPC,6.336150734363071e-05,6.886932691287797e-05,7.474779672121379e-05
2013-05-24,^IXIC,6.886932691287797e-05,8.25463801956844e-05,8.53544032249337e-05
2013-05-24,^RUT,7.474779672121379e-05,8.53544032249337e-05,0.00010432372432268634
2013-05-28,^GSPC,6.344002636555334e-05,6.901877936857091e-05,7.49964201982539e-05
2013-05-28,^IXIC,6.901877936857091e-05,8.277859273882063e-05,8.572636882226685e-05
2013-05-28,^RUT,7.49964201982539e-05,8.572636882226685e-05,0.00010491473378243688
2013-05-29,^GSPC,6.328041557781613e-05,6.87942202619186e-05,7.483443131306165e-05
2013-05-29,^IXIC,6.87942202619186e-05,8.249061089220919e-05,8.547618131850542e-05
2013-05-29,^RUT,7.483443131306165e-05,8.547618131850542e-05,0.00010476809312709708
2013-05-30,^GSPC,6.2376352286214e-05,6.809212980245032e-05,7.364620396910484e-05
2013-05-30,^IXIC,6.809212980245032e-05,8.200409471706019e-05,8.459706015648091e-05
2013-05-30,^RUT,7.364620396910484e-05,8.459706015648091e-05,0.00010323882865008883
2013-05-31,^GSPC,6.32675729857751e-05,6.870841006452512e-05,7.432878522399692e-05
2013-05-31,^IXIC,6.870841006452512e-05,8.24121644924609e-05,8.507842917484508e-05
2013-05-31,^RUT,7.432878522399692e-05,8.507842917484508e-05,0.0001037567674352642
2013-06-03,^GSPC,6.073253426086305e-05,6.574654642781518e-05,7.102219060219636e-05
2013-06-03,^IXIC,6.574654642781518e-05,7.90126274462822e-05,8.12327747505809e-05
2013-06-03,^RUT,7.102219060219636e-05,8.12327747505809e-05,9.944890712689568e-05
2013-06-04,^GSPC,6.090040477224453e-05,6.593673127720257e-05,7.127528860587548e-05
2013-06-04,^IXIC,6.593673127720257e-05,7.91432228209828e-05,8.152112994890589e-05
2013-06-04,^RUT,7.127528860587548e-05,8.152112994890589e-05,9.983047174395641e-05
2013-06-05,^GSPC,6.168288681497422e-05,6.663358990112108e-05,7.196847961801574e-05
2013-06-05,^IXIC,6.663358990112108e-05,7.975645647689949e-05,8.210425707623427e-05
2013-06-05,^RUT,7.196847961801574e-05,8.210425707623427e-05,0.00010028577435708142
2013-06-06,^GSPC,5.994394952992482e-05,6.475067769725931e-05,7.011168414279865e-05
2013-06-06,^IXIC,6.475067769725931e-05,7.773804579516689e-05,8.00724588346024e-05
2013-06-06,^RUT,7.011168414279865e-05,8.00724588346024e-05,9.832531290025434e-05
2013-06-07,^GSPC,6.051199471673345e-05,6.532118546779763e-05,7.04301811896319e-05
2013-06-07,^IXIC,6.532118546779763e-05,7.822572080305646e-05,8.02666153933703e-05
2013-06-07,^RUT,7.04301811896319e-05,8.02666153933703e-05,9.831860703907496e-05
2013-06-10,^GSPC,6.0309585389107544e-05,6.506278337407952e-05,7.010427925287142e-05
2013-06-10,^IXIC,6.506278337407952e-05,7.791259602019893e-05,7.989941213667187e-05
2013-06-10,^RUT,7.010427925287142e-05,7.989941213667187e-05,9.79362745257377e-05
2013-06-11,^GSPC,6.006627794058354e-05,6.460033757305615e-05,6.931217577048262e-05
2013-06-11,^IXIC,6.460033757305615e-05,7.715553277662873e-05,7.869421031591726e-05
2013-06-11,^RUT,6.931217577048262e-05,7.869421031591726e-05,9.609747498191351e-05
2013-06-12,^GSPC,5.994046589845112e-05,6.454410607353229e-05,6.913636758982792e-05
2013-06-12,^IXIC,6.454410607353229e-05,7.718797732945172e-05,7.859584141344497e-05
2013-06-12,^RUT,6.913636758982792e-05,7.859584141344497e-05,9.585860606925219e-05
2013-06-13,^GSPC,6.046923154221037e-05,6.494053709846017e-05,6.966027327282639e-05
2013-06-13,^IXIC,6.494053709846017e-05,7.745196555364522e-05,7.893828201286245e-05
2013-06-13,^RUT,6.966027327282639e-05,7.893828201286245e-05,9.630141073777967e-05
2013-06-14,^GSPC,6.0255579948810484e-05,6.491598490841661e-05,6.943343300002856e-05
2013-06-14,^IXIC,6.491598490841661e-05,7.753677499791876e-05,7.894420237675138e-05
2013-06-14,^RUT,6.943343300002856e-05,7.894420237675138e-05,9.607224437741e-05
2013-06-17,^GSPC,6.007489902918727e-05,6.465956909069614e-05,6.917348177064188e-05
2013-06-17,^IXIC,6.465956909069614e-05,7.718083529879505e-05,7.85918618249233e-05
2013-06-17,^RUT,6.917348177064188e-05,7.85918618249233e-05,9.573276517342138e-05
2013-06-18,^GSPC,6.026747032767745e-05,6.48637683680212e-05,6.948601959960306e-05
2013-06-18,^IXIC,6.48637683680212e-05,7.723276746491048e-05,7.893535422542634e-05
2013-06-18,^RUT,6.948601959960306e-05,7.893535422542634e-05,9.623911836335293e-05
2013-06-19,^GSPC,6.0804202701084e-05,6.516185498994928e-05,6.972576910652687e-05
2013-06-19,^IXIC,6.516185498994928e-05,7.730361130450115e-05,7.88693005017913e-05
2013-06-19,^RUT,6.972576910652687e-05,7.88693005017913e-05,9.592720296983243e-05
2013-06-20,^GSPC,6.343820976426746e-05,6.758084485462643e-05,7.250218533447737e-05
2013-06-20,^IXIC,6.758084485462643e-05,7.951224858880891e-05,8.142915284981785e-05
2013-06-20,^RUT,7.250218533447737e-05,8.142915284981785e-05,9.884584627064284e-05
2013-06-21,^GSPC,6.133340475022034e-05,6.5252847367381e-05,7.017417156380126e-05
2013-06-21,^IXIC,6.5252847367381e-05,7.703687954391109e-05,7.885008920546104e-05
2013-06-21,^RUT,7.017417156380126e-05,7.885008920546104e-05,9.627112940554897e-05
2013-06-24,^GSPC,6.183171547957316e-05,6.556211419824795e-05,7.057320419494306e-05
2013-06-24,^IXIC,6.556211419824795e-05,7.708061317599086e-05,7.894101728553521e-05
2013-06-24,^RUT,7.057320419494306e-05,7.894101728553521e-05,9.642493292381799e-05
2013-06-25,^GSPC,6.102070709737291e-05,6.447945446843636e-05,6.970978583324015e-05
2013-06-25,^IXIC,6.447945446843636e-05,7.568590018726081e-05,7.77824662297068e-05
2013-06-25,^RUT,6.970978583324015e-05,7.77824662297068e-05,9.550641193591395e-05
2013-06-26,^GSPC,6.12677008587659e-05,6.466385199515662e-05,6.971996668678691e-05
2013-06-26,^IXIC,6.466385199515662e-05,7.580131164966423e-05,7.776513707842442e-05
2013-06-26,^RUT,6.971996668678691e-05,7.776513707842442e-05,9.547890382456141e-05
2013-06-27,^GSPC,6.111581975309199e-05,6.459162774457005e-05,6.961078816719077e-05
2013-06-27,^IXIC,6.459162774457005e-05,7.58092605756803e-05,7.782918015863346e-05
2013-06-27,^RUT,6.961078816719077e-05,7.782918015863346e-05,9.571836244065933e-05
2013-06-28,^GSPC,6.118572348390434e-05,6.448494763185257e-05,6.966490253106502e-05
2013-06-28,^IXIC,6.448494763185257e-05,7.543081045010136e-05,7.777798316881281e-05
2013-06-28,^RUT,6.966490253106502e-05,7.777798316881281e-05,9.575843372258026e-05
2013-07-01,^GSPC,5.892644683066798e-05,6.179719945894729e-05,6.714739300529375e-05
2013-07-01,^IXIC,6.179719945894729e-05,7.226667051468716e-05,7.485705596952986e-05
2013-07-01,^RUT,6.714739300529375e-05,7.485705596952986e-05,9.311754894985843e-05
2013-07-02,^GSPC,5.8920349745628785e-05,6.17678221374538e-05,6.707650270659245e-05
2013-07-02,^IXIC,6.17678221374538e-05,7.217561167379009e-05,7.464818364419185e-05
2013-07-02,^RUT,6.707650270659245e-05,7.464818364419185e-05,9.26420661452928e-05
2013-07-03,^GSPC,5.879696876207143e-05,6.159566417360967e-05,6.680479043173755e-05
2013-07-03,^IXIC,6.159566417360967e-05,7.19543001775007e-05,7.427378313671554e-05
2013-07-03,^RUT,6.680479043173755e-05,7.427378313671554e-05,9.204487856041313e-05
2013-07-05,^GSPC,5.90422074652987e-05,6.195308942824891e-05,6.727496410071885e-05
2013-07-05,^IXIC,6.195308942824891e-05,7.233288081833027e-05,7.479763145778269e-05
2013-07-05,^RUT,6.727496410071885e-05,7.479763145778269e-05,9.276327900828577e-05
