Date,,^GSPC,^IXIC,^RUT
2013-04-02,^GSPC,1.0000000000000004,0.9487817812450267,0.9212429436213484
2013-04-02,^IXIC,0.9487817812450267,1.0000000000000002,0.9231454433176984
2013-04-02,^RUT,0.9212429436213484,0.9231454433176984,0.9999999999999993
2013-04-03,^GSPC,1.0000000000000002,0.948914130731695,0.9216093052923363
2013-04-03,^IXIC,0.948914130731695,1.0000000000000002,0.9231175459321002
2013-04-03,^RUT,0.9216093052923363,0.9231175459321002,0.9999999999999991
2013-04-04,^GSPC,1.0000000000000007,0.9489698818422725,0.921530486411913
2013-04-04,^IXIC,0.9489698818422725,1.0000000000000002,0.9230864235977988
2013-04-04,^RUT,0.921530486411913,0.9230864235977988,0.9999999999999991
2013-04-05,^GSPC,1.0000000000000002,0.9487273877474036,0.9210414950502251
2013-04-05,^IXIC,0.9487273877474036,1.0000000000000002,0.9220308948518491
2013-04-05,^RUT,0.9210414950502251,0.9220308948518491,0.9999999999999993
2013-04-08,^GSPC,1.0000000000000002,0.9493499046954498,0.9212573148130538
2013-04-08,^IXIC,0.9493499046954498,1.0000000000000004,0.9230881421010897
2013-04-08,^RUT,0.9212573148130538,0.9230881421010897,0.9999999999999991
2013-04-09,^GSPC,1.0000000000000004,0.9491640450444965,0.919797878649903
2013-04-09,^IXIC,0.9491640450444965,1.0000000000000002,0.9220220191948856
2013-04-09,^RUT,0.919797878649903,0.9220220191948856,0.9999999999999992
2013-04-10,^GSPC,1.0000000000000007,0.9484764793845937,0.9188386680855342
2013-04-10,^IXIC,0.9484764793845937,1.0000000000000002,0.9218060438178797
2013-04-10,^RUT,0.9188386680855342,0.9218060438178797,0.9999999999999992
2013-04-11,^GSPC,1.0000000000000007,0.9481443403775837,0.9189901922946367
2013-04-11,^IXIC,0.9481443403775837,1.0000000000000002,0.9221585348906992
2013-04-11,^RUT,0.9189901922946367,0.9221585348906992,0.9999999999999991
2013-04-12,^GSPC,1.0000000000000004,0.9477781873844912,0.9183715699418302
2013-04-12,^IXIC,0.9477781873844912,1.0000000000000002,0.9214326214909833
2013-04-12,^RUT,0.9183715699418302,0.9214326214909833,0.9999999999999992
2013-04-15,^GSPC,1.0000000000000004,0.9485807765164893,0.9198120627762459
2013-04-15,^IXIC,0.9485807765164893,1.0000000000000002,0.9210433494925464
2013-04-15,^RUT,0.9198120627762459,0.9210433494925464,0.9999999999999992
2013-04-16,^GSPC,1.0000000000000007,0.9500232591022151,0.920875544536592
2013-04-16,^IXIC,0.9500232591022151,1.0000000000000002,0.9237327374863176
2013-04-16,^RUT,0.920875544536592,0.9237327374863176,0.9999999999999991
2013-04-17,^GSPC,1.0000000000000007,0.9500125231936359,0.9213123693308111
2013-04-17,^IXIC,0.9500125231936359,1.0000000000000002,0.9242322638131376
2013-04-17,^RUT,0.9213123693308111,0.9242322638131376,0.999999999999999
2013-04-18,^GSPC,1.0000000000000007,0.9499145660672019,0.9214307456234351
2013-04-18,^IXIC,0.9499145660672019,1.0000000000000004,0.9239706469434298
2013-04-18,^RUT,0.9214307456234351,0.9239706469434298,0.9999999999999991
2013-04-19,^GSPC,1.0000000000000009,0.949918547180561,0.9217101771266224
2013-04-19,^IXIC,0.949918547180561,1.0000000000000004,0.9243456781802087
2013-04-19,^RUT,0.9217101771266224,0.9243456781802087,0.9999999999999992
2013-04-22,^GSPC,1.0000000000000007,0.9500129556396697,0.9219746637737625
2013-04-22,^IXIC,0.9500129556396697,1.0000000000000004,0.9249185242201106
2013-04-22,^RUT,0.9219746637737625,0.9249185242201106,0.9999999999999991
2013-04-23,^GSPC,1.0000000000000009,0.9500299193633935,0.9222059948865736
2013-04-23,^IXIC,0.9500299193633935,1.0000000000000002,0.9250338302276067
2013-04-23,^RUT,0.9222059948865736,0.9250338302276067,0.9999999999999991
2013-04-24,^GSPC,1.0000000000000009,0.9510905999762719,0.9218316109103446
2013-04-24,^IXIC,0.9510905999762719,1.0000000000000002,0.9267477273340522
2013-04-24,^RUT,0.9218316109103446,0.9267477273340522,0.9999999999999991
2013-04-25,^GSPC,1.0000000000000009,0.9514774680604823,0.921036718879845
2013-04-25,^IXIC,0.9514774680604823,1.0000000000000004,0.926726556520626
2013-04-25,^RUT,0.921036718879845,0.926726556520626,0.9999999999999991
2013-04-26,^GSPC,1.000000000000001,0.9513872454755014,0.9207875550800897
2013-04-26,^IXIC,0.9513872454755014,1.0000000000000004,0.926582188181279
2013-04-26,^RUT,0.9207875550800897,0.926582188181279,0.9999999999999992
2013-04-29,^GSPC,1.000000000000001,0.9517695417511226,0.9214501915617652
2013-04-29,^IXIC,0.9517695417511226,1.0000000000000004,0.9266159297854764
2013-04-29,^RUT,0.9214501915617652,0.9266159297854764,0.9999999999999992
2013-04-30,^GSPC,1.0000000000000013,0.9515242767381891,0.9217161707400726
2013-04-30,^IXIC,0.9515242767381891,1.0000000000000004,0.9264742067148615
2013-04-30,^RUT,0.9217161707400726,0.9264742067148615,0.9999999999999992
2013-05-01,^GSPC,1.0000000000000013,0.9521802658071573,0.9211479464169595
2013-05-01,^IXIC,0.9521802658071573,1.0000000000000007,0.923479969085898
2013-05-01,^RUT,0.9211479464169595,0.923479969085898,0.9999999999999991
2013-05-02,^GSPC,1.000000000000001,0.9532228132669324,0.9220467069699813
2013-05-02,^IXIC,0.9532228132669324,1.0000000000000004,0.9239395368633327
2013-05-02,^RUT,0.9220467069699813,0.9239395368633327,0.9999999999999992
2013-05-03,^GSPC,1.0000000000000013,0.9533702965934865,0.9224325491736121
